"Time stamp","System power generated | (kW)"
"1",-0.0162711
"2",-0.0162711
"3",-0.0162711
"4",-0.0162711
"5",-0.0162711
"6",-0.0162711
"7",-0.0162711
"8",214.375
"9",204.457
"10",196.73
"11",180.337
"12",112.223
"13",52.7737
"14",12.0314
"15",12.758
"16",3.05589
"17",-0.0162711
"18",-0.0162711
"19",-0.0162711
"20",-0.0162711
"21",-0.0162711
"22",-0.0162711
"23",-0.0162711
"24",-0.0162711
"25",-0.0162711
"26",-0.0162711
"27",-0.0162711
"28",-0.0162711
"29",-0.0162711
"30",-0.0162711
"31",-0.0162711
"32",214.375
"33",196.217
"34",209.881
"35",178.108
"36",115.384
"37",59.6771
"38",29.7181
"39",6.77057
"40",9.58068
"41",-0.0162711
"42",-0.0162711
"43",-0.0162711
"44",-0.0162711
"45",-0.0162711
"46",-0.0162711
"47",-0.0162711
"48",-0.0162711
"49",-0.0162711
"50",-0.0162711
"51",-0.0162711
"52",-0.0162711
"53",-0.0162711
"54",-0.0162711
"55",-0.0162711
"56",137.09
"57",111.675
"58",60.976
"59",127.729
"60",176.74
"61",112.916
"62",56.5895
"63",2.07294
"64",0.522129
"65",-0.0162711
"66",-0.0162711
"67",-0.0162711
"68",-0.0162711
"69",-0.0162711
"70",-0.0162711
"71",-0.0162711
"72",-0.0162711
"73",-0.0162711
"74",-0.0162711
"75",-0.0162711
"76",-0.0162711
"77",-0.0162711
"78",-0.0162711
"79",-0.0162711
"80",214.375
"81",175.675
"82",156.05
"83",104.673
"84",147.995
"85",196.941
"86",183.83
"87",160.896
"88",5.68431
"89",-0.0162711
"90",-0.0162711
"91",-0.0162711
"92",-0.0162711
"93",-0.0162711
"94",-0.0162711
"95",-0.0162711
"96",-0.0162711
"97",-0.0162711
"98",-0.0162711
"99",-0.0162711
"100",-0.0162711
"101",-0.0162711
"102",-0.0162711
"103",-0.0162711
"104",161.488
"105",186.005
"106",176.548
"107",168.752
"108",142.108
"109",122.351
"110",123.779
"111",158.73
"112",21.7377
"113",-0.0162711
"114",-0.0162711
"115",-0.0162711
"116",-0.0162711
"117",-0.0162711
"118",-0.0162711
"119",-0.0162711
"120",-0.0162711
"121",-0.0162711
"122",-0.0162711
"123",-0.0162711
"124",-0.0162711
"125",-0.0162711
"126",-0.0162711
"127",-0.0162711
"128",140.605
"129",53.1917
"130",190.041
"131",153.258
"132",59.7551
"133",43.0878
"134",37.4601
"135",60.5332
"136",31.1345
"137",-0.0162711
"138",-0.0162711
"139",-0.0162711
"140",-0.0162711
"141",-0.0162711
"142",-0.0162711
"143",-0.0162711
"144",-0.0162711
"145",-0.0162711
"146",-0.0162711
"147",-0.0162711
"148",-0.0162711
"149",-0.0162711
"150",-0.0162711
"151",-0.0162711
"152",158.344
"153",189.427
"154",127.47
"155",176.424
"156",165.864
"157",193.585
"158",104.538
"159",14.9417
"160",0.0467545
"161",-0.0162711
"162",-0.0162711
"163",-0.0162711
"164",-0.0162711
"165",-0.0162711
"166",-0.0162711
"167",-0.0162711
"168",-0.0162711
"169",-0.0162711
"170",-0.0162711
"171",-0.0162711
"172",-0.0162711
"173",-0.0162711
"174",-0.0162711
"175",-0.0162711
"176",186.805
"177",59.6204
"178",172.043
"179",75.0255
"180",146.54
"181",98.4368
"182",108.005
"183",22.8664
"184",2.89622
"185",-0.0162711
"186",-0.0162711
"187",-0.0162711
"188",-0.0162711
"189",-0.0162711
"190",-0.0162711
"191",-0.0162711
"192",-0.0162711
"193",-0.0162711
"194",-0.0162711
"195",-0.0162711
"196",-0.0162711
"197",-0.0162711
"198",-0.0162711
"199",-0.0162711
"200",214.375
"201",199.689
"202",176.174
"203",157.083
"204",89.4561
"205",40.9773
"206",80.9669
"207",13.1296
"208",12.8575
"209",-0.0162711
"210",-0.0162711
"211",-0.0162711
"212",-0.0162711
"213",-0.0162711
"214",-0.0162711
"215",-0.0162711
"216",-0.0162711
"217",-0.0162711
"218",-0.0162711
"219",-0.0162711
"220",-0.0162711
"221",-0.0162711
"222",-0.0162711
"223",-0.0162711
"224",159.389
"225",181.501
"226",99.9521
"227",166.808
"228",186.706
"229",160.225
"230",58.2805
"231",36.8375
"232",2.91876
"233",-0.0162711
"234",-0.0162711
